Number,Name,Latitude,Longitude
1,Ben Chonzie,56.453851,-3.992057
2,Creagan na Beinne,56.506918,-4.041691
3,Creag Uchdag,732324,56.465278
4,Auchnafree Hill,56.454346,-3.934667
5,Shee of Ardtalnaig [Ciste Buide a'Claidheimh],56.491391,-4.06498
6,Beinn na Gainimh,56.487851,-3.890016
7,Meall Buidhe,56.419004,-4.308645
8,Creag Ruadh,56.436804,-4.151869
9,Meall Dearg,56.552173,-3.812784
10,Creag Each,56.410297,-4.185395
11,Creag Gharbh,56.46677,-4.221506
12,Meall nan Caorach,56.484891,-3.741256
13,Meall Reamhar,56.479066,-3.751689
14,Creag na Criche,56.496887,-3.649095
15,Birnam Hill - King's Seat,56.543547,-3.575752
16,Knock of Crieff,56.389329,-3.826973
17,Ben Vorlich,56.342671,-4.219463
18,Stuc a'Chroin,56.329315,-4.237533
19,Beinn Each,56.313957,-4.262199
20,Meall na Fearna,56.341247,-4.184316
21,Beinn Dearg,56.352093,-4.110623
22,Sgiath a'Chaise,56.323605,-4.29177
23,Mor Bheinn,56.365368,-4.079704
24,Ben Clach,56.31322,-4.007267
25,Torlum,56.350611,-3.912514
26,Ben More,56.385952,-4.540103
27,Stob Binnein,56.370726,-4.535753
28,Stob Coire an Lochain,56.364913,-4.529521
29,Cruach Ardrain SW Top,56.355467,-4.577899
30,Cruach Ardrain,56.356429,-4.576151
31,An Caisteal,56.3386,-4.624368
32,Ben Lomond,56.190284,-4.633008
33,Meall na Dige,56.370157,-4.510289
34,Stob Garbh,56.364811,-4.573721
35,Beinn Tulaichean,56.342216,-4.56333
36,Beinn a'Chroin East Top [Beinn a'Chroin],56.332393,-4.599295
37,Beinn a'Chroin West Top,56.331719,-4.612328
38,Beinn Chabhair,56.325775,-4.641485
39,Creag a'Bhragit,56.368977,-4.513515
40,Stob Garbh SE Top,56.361037,-4.570665
41,Stob Creagach,56.37552,-4.496211
42,Ben Ledi,56.258659,-4.322375
43,Stob a'Choin,715975,56.309674
44,Meall an t-Seallaidh,723408,56.380403
45,Benvane,56.293295,-4.368435
46,Creag Mac Ranaich,725567,56.399888
47,Beinn Stacach [Ceann na Baintighearna] [Stob Fear-tomhais] [Beinn Stacath],56.31467,-4.468143
48,Beinn a'Choin,56.281081,-4.659947
49,The Stob,56.376801,-4.444527
50,Meall Mor,56.301077,-4.613679
51,Ben Venue,56.225006,-4.461986
52,Stob Breac,56.316392,-4.51208
53,Meall Cala,56.283892,-4.411285
54,Creag Mhor,56.335473,-4.411255
55,Cruinn a'Bheinn,56.210735,-4.637088
56,Beinn Uamha,56.227267,-4.604292
57,Beinn Uird,56.152448,-4.578276
58,Binnean nan Gobhar,56.137292,-4.545856
59,Beinn an t-Sidhein,717861,56.330759
60,Meall Gainmheich,56.254715,-4.407384
61,Beinn Dubh,56.206333,-4.573894
